,area,franchise,small_area,closed,period_month,univ_count,univ_area,univ_pop
0,53.0,0,0,1,0,3.0,1049479.0,22578.0
1,6.6,0,1,1,0,0.0,0.0,0.0
2,36.0,0,0,1,0,0.0,0.0,0.0
3,12.23,0,1,1,0,0.0,0.0,0.0
4,56.0,0,0,1,1,0.0,0.0,0.0
5,18.0,0,1,1,0,0.0,0.0,0.0
6,27.0,0,1,1,0,0.0,0.0,0.0
7,32.69,0,0,1,0,0.0,0.0,0.0
8,112.92,0,0,1,12,0.0,0.0,0.0
9,39.6,0,0,1,9,2.0,99436.0,2141.0
10,248.0,0,0,1,14,1.0,39431.0,2038.0
11,49.21,0,0,1,6,0.0,0.0,0.0
12,60.92,0,0,1,3,0.0,0.0,0.0
13,3.3,0,1,1,3,0.0,0.0,0.0
14,45.6,0,0,1,16,0.0,0.0,0.0
15,26.22,0,1,1,8,0.0,0.0,0.0
16,17.0,0,1,1,12,0.0,0.0,0.0
17,66.45,0,0,1,10,0.0,0.0,0.0
18,48.0,0,0,1,1,0.0,0.0,0.0
19,9.79,0,1,1,0,1.0,82662.0,1444.0
20,28.0,0,1,1,11,0.0,0.0,0.0
21,5.0,0,1,1,10,0.0,0.0,0.0
22,58.33,0,0,1,0,0.0,0.0,0.0
23,43.11,0,0,1,16,0.0,0.0,0.0
24,42.0,0,0,1,17,0.0,0.0,0.0
25,37.2,0,0,1,13,0.0,0.0,0.0
26,24.0,0,1,1,4,0.0,0.0,0.0
27,12.0,0,1,1,1,1.0,55486.0,7674.0
28,20.0,0,1,1,0,1.0,54323.0,6981.0
29,17.31,0,1,1,14,0.0,0.0,0.0
30,39.0,0,0,1,6,0.0,0.0,0.0
31,78.78,0,0,1,17,1.0,351547.0,14567.0
32,48.16,0,0,1,10,0.0,0.0,0.0
33,11.41,0,1,1,13,0.0,0.0,0.0
34,20.0,0,1,1,11,0.0,0.0,0.0
35,95.87,0,0,1,15,1.0,74694.0,1374.0
36,82.16,0,0,1,2,0.0,0.0,0.0
37,53.0,0,0,1,14,0.0,0.0,0.0
38,25.0,0,1,1,12,0.0,0.0,0.0
39,37.03,0,0,1,13,0.0,0.0,0.0
40,209.52,0,0,1,15,0.0,0.0,0.0
41,51.2,0,0,1,11,0.0,0.0,0.0
42,31.2,0,0,1,12,0.0,0.0,0.0
43,74.36,0,0,1,13,0.0,0.0,0.0
44,23.14,0,1,1,6,0.0,0.0,0.0
45,0.0,0,1,1,0,0.0,0.0,0.0
46,26.3,0,1,1,4,0.0,0.0,0.0
47,12.32,0,1,1,12,0.0,0.0,0.0
48,11.5,0,1,1,12,0.0,0.0,0.0
49,20.0,0,1,1,25,1.0,82662.0,1444.0
50,88.26,0,0,1,14,0.0,0.0,0.0
51,15.44,0,1,1,1,1.0,170742.0,5385.0
52,19.2,0,1,1,3,0.0,0.0,0.0
53,23.0,0,1,1,16,0.0,0.0,0.0
54,30.0,0,1,1,15,2.0,99436.0,2141.0
55,32.13,0,0,1,11,2.0,99436.0,2141.0
56,65.96,0,0,1,13,2.0,99436.0,2141.0
57,29.0,0,1,1,4,1.0,4108394.0,15816.0
58,67.88,0,0,1,5,0.0,0.0,0.0
59,25.0,0,1,1,11,0.0,0.0,0.0
60,83.39,0,0,1,3,0.0,0.0,0.0
61,36.0,0,0,1,12,0.0,0.0,0.0
62,20.5,0,1,1,15,0.0,0.0,0.0
63,63.14,0,0,1,6,0.0,0.0,0.0
64,17.0,0,1,1,18,0.0,0.0,0.0
65,10.8,0,1,1,12,0.0,0.0,0.0
66,26.4,0,1,1,9,1.0,81199.0,9333.0
67,78.22,0,0,1,0,0.0,0.0,0.0
68,35.0,0,0,1,4,0.0,0.0,0.0
69,34.71,0,0,1,4,1.0,4534.0,851.0
70,65.1,0,0,1,16,1.0,82662.0,1444.0
71,10.7,0,1,1,11,1.0,120727.0,12414.0
72,58.5,0,0,1,5,1.0,170742.0,5385.0
73,42.0,0,0,1,16,0.0,0.0,0.0
74,89.56,0,0,1,4,0.0,0.0,0.0
75,34.2,0,0,1,34,0.0,0.0,0.0
76,43.0,0,0,1,11,0.0,0.0,0.0
77,28.0,0,1,1,1,0.0,0.0,0.0
78,92.88,0,0,1,6,0.0,0.0,0.0
79,17.0,0,1,1,7,0.0,0.0,0.0
80,45.6,0,0,1,15,0.0,0.0,0.0
81,24.0,0,1,1,7,0.0,0.0,0.0
82,22.75,0,1,1,0,0.0,0.0,0.0
83,36.26,0,0,1,1,0.0,0.0,0.0
84,102.15,0,0,1,14,0.0,0.0,0.0
85,81.8,0,0,1,15,0.0,0.0,0.0
